               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.018023,            0.013598,          0.00052773,             0.95186,             0.88742,             0.93527,             0.70966,            0.020022,            0.028571,           0.0010595,            0.002179,            0.002179,            0.002179
                  81,            0.017973,            0.013774,          0.00050751,             0.95288,             0.88379,              0.9367,             0.71138,             0.01997,            0.028457,           0.0010587,             0.00208,             0.00208,             0.00208
                  82,            0.017713,            0.013384,          0.00049873,             0.95704,             0.88522,             0.93859,             0.71253,            0.019963,            0.028566,           0.0010728,            0.001981,            0.001981,            0.001981
                  83,            0.017656,            0.013509,          0.00049986,             0.94854,              0.8904,              0.9366,             0.71275,            0.019982,            0.028697,           0.0010679,            0.001882,            0.001882,            0.001882
                  84,            0.017753,            0.013476,          0.00047742,             0.94552,             0.89232,             0.93869,             0.71229,            0.019982,            0.028732,           0.0010933,            0.001783,            0.001783,            0.001783
                  85,            0.017512,            0.013224,          0.00046317,             0.94375,              0.8924,             0.94047,             0.71412,            0.019897,            0.028688,           0.0010961,            0.001684,            0.001684,            0.001684
                  86,            0.017253,             0.01295,          0.00047572,             0.95416,             0.88734,             0.93864,             0.71381,            0.019859,            0.028525,           0.0010711,            0.001585,            0.001585,            0.001585
                  87,            0.017409,            0.013083,          0.00048893,              0.9562,             0.88838,              0.9391,             0.71566,            0.019811,            0.028647,           0.0010699,            0.001486,            0.001486,            0.001486
                  88,            0.017161,            0.012998,          0.00048595,             0.94595,             0.89261,             0.93969,             0.71731,            0.019785,             0.02864,           0.0010575,            0.001387,            0.001387,            0.001387
                  89,            0.017218,            0.012817,            0.000465,             0.94915,             0.88974,             0.94035,             0.71678,            0.019811,            0.028788,           0.0010766,            0.001288,            0.001288,            0.001288
                  90,            0.017079,            0.012723,          0.00050289,             0.94911,             0.88848,             0.93973,              0.7192,            0.019777,            0.028655,           0.0010706,            0.001189,            0.001189,            0.001189
                  91,            0.016919,            0.012665,          0.00045912,             0.95207,             0.88741,             0.93832,             0.71943,            0.019742,            0.028638,           0.0010732,             0.00109,             0.00109,             0.00109
                  92,            0.016851,            0.012692,          0.00046228,             0.95176,             0.88854,             0.93803,             0.72148,            0.019709,            0.028747,           0.0010853,            0.000991,            0.000991,            0.000991
                  93,            0.016712,            0.012651,          0.00043115,              0.9549,             0.88633,             0.93636,              0.7201,            0.019703,            0.028755,           0.0010963,            0.000892,            0.000892,            0.000892
                  94,            0.016833,            0.012335,          0.00043442,             0.94956,             0.88726,              0.9379,             0.72008,            0.019676,            0.028815,           0.0010741,            0.000793,            0.000793,            0.000793
                  95,            0.016619,            0.012378,          0.00047206,             0.95043,             0.88838,             0.93848,             0.72083,            0.019658,            0.028852,           0.0010711,            0.000694,            0.000694,            0.000694
                  96,            0.016524,            0.012201,          0.00041892,             0.93963,              0.8955,             0.93955,             0.72173,            0.019647,            0.028876,            0.001068,            0.000595,            0.000595,            0.000595
                  97,            0.016607,            0.012154,          0.00043893,             0.94918,             0.89078,             0.93985,             0.72177,            0.019649,            0.028958,           0.0010729,            0.000496,            0.000496,            0.000496
                  98,            0.016398,            0.012311,          0.00045074,             0.94763,             0.89156,             0.94021,             0.72231,            0.019617,            0.028969,           0.0010714,            0.000397,            0.000397,            0.000397
                  99,            0.016412,            0.012162,          0.00048547,             0.95344,             0.89193,             0.94279,             0.72245,            0.019608,            0.028997,           0.0010599,            0.000298,            0.000298,            0.000298
